name,pokedex_number,type1,type2,height_m,weight_kg
Bulbasaur,1,grass,poison,0.7,6.9
Ivysaur,2,grass,poison,1.0,13.0
Venusaur,3,grass,poison,2.0,100.0
Charmander,4,fire,,0.6,8.5
Charmeleon,5,fire,,1.1,19.0
Charizard,6,fire,flying,1.7,90.5
Squirtle,7,water,,0.5,9.0
Wartortle,8,water,,1.0,22.5
Blastoise,9,water,,1.6,85.5
Caterpie,10,bug,,0.3,2.9
Metapod,11,bug,,0.7,9.9
Butterfree,12,bug,flying,1.1,32.0
Weedle,13,bug,poison,0.3,3.2
Kakuna,14,bug,poison,0.6,10.0
Beedrill,15,bug,poison,1.0,29.5
Pidgey,16,normal,flying,0.3,1.8
Pidgeotto,17,normal,flying,1.1,30.0
Pidgeot,18,normal,flying,1.5,39.5
Rattata,19,normal,dark,,
Raticate,20,normal,dark,,
Spearow,21,normal,flying,0.3,2.0
Fearow,22,normal,flying,1.2,38.0
Ekans,23,poison,,2.0,6.9
Arbok,24,poison,,3.5,65.0
Pikachu,25,electric,,0.4,6.0
Raichu,26,electric,electric,,
Sandshrew,27,ground,ice,,
Sandslash,28,ground,ice,,
Nidoran♀,29,poison,,0.4,7.0
Nidorina,30,poison,,0.8,20.0
Nidoqueen,31,poison,ground,1.3,60.0
Nidoran♂,32,poison,,0.5,9.0
Nidorino,33,poison,,0.9,19.5
Nidoking,34,poison,ground,1.4,62.0
Clefairy,35,fairy,,0.6,7.5
Clefable,36,fairy,,1.3,40.0
Vulpix,37,fire,ice,,
Ninetales,38,fire,ice,,
Jigglypuff,39,normal,fairy,0.5,5.5
Wigglytuff,40,normal,fairy,1.0,12.0
Zubat,41,poison,flying,0.8,7.5
Golbat,42,poison,flying,1.6,55.0
Oddish,43,grass,poison,0.5,5.4
Gloom,44,grass,poison,0.8,8.6
Vileplume,45,grass,poison,1.2,18.6
Paras,46,bug,grass,0.3,5.4
Parasect,47,bug,grass,1.0,29.5
Venonat,48,bug,poison,1.0,30.0
Venomoth,49,bug,poison,1.5,12.5
Diglett,50,ground,ground,,
Dugtrio,51,ground,ground,,
Meowth,52,normal,dark,,
Persian,53,normal,dark,,
Psyduck,54,water,,0.8,19.6
Golduck,55,water,,1.7,76.6
Mankey,56,fighting,,0.5,28.0
Primeape,57,fighting,,1.0,32.0
Growlithe,58,fire,,0.7,19.0
Arcanine,59,fire,,1.9,155.0
Poliwag,60,water,,0.6,12.4
Poliwhirl,61,water,,1.0,20.0
Poliwrath,62,water,fighting,1.3,54.0
Abra,63,psychic,,0.9,19.5
Kadabra,64,psychic,,1.3,56.5
Alakazam,65,psychic,,1.5,48.0
Machop,66,fighting,,0.8,19.5
Machoke,67,fighting,,1.5,70.5
Machamp,68,fighting,,1.6,130.0
Bellsprout,69,grass,poison,0.7,4.0
Weepinbell,70,grass,poison,1.0,6.4
Victreebel,71,grass,poison,1.7,15.5
Tentacool,72,water,poison,0.9,45.5
Tentacruel,73,water,poison,1.6,55.0
Geodude,74,rock,ground,,
Graveler,75,rock,ground,,
Golem,76,rock,ground,,
Ponyta,77,fire,,1.0,30.0
Rapidash,78,fire,,1.7,95.0
Slowpoke,79,water,psychic,1.2,36.0
Slowbro,80,water,psychic,1.6,78.5
Magnemite,81,electric,steel,0.3,6.0
Magneton,82,electric,steel,1.0,60.0
Farfetch'd,83,normal,flying,0.8,15.0
Doduo,84,normal,flying,1.4,39.2
Dodrio,85,normal,flying,1.8,85.2
Seel,86,water,,1.1,90.0
Dewgong,87,water,ice,1.7,120.0
Grimer,88,poison,poison,,
Muk,89,poison,poison,,
Shellder,90,water,,0.3,4.0
Cloyster,91,water,ice,1.5,132.5
Gastly,92,ghost,poison,1.3,0.1
Haunter,93,ghost,poison,1.6,0.1
Gengar,94,ghost,poison,1.5,40.5
Onix,95,rock,ground,8.8,210.0
Drowzee,96,psychic,,1.0,32.4
Hypno,97,psychic,,1.6,75.6
Krabby,98,water,,0.4,6.5
Kingler,99,water,,1.3,60.0
Voltorb,100,electric,,0.5,10.4
Electrode,101,electric,,1.2,66.6
Exeggcute,102,grass,psychic,0.4,2.5
Exeggutor,103,grass,psychic,,
Cubone,104,ground,,0.4,6.5
Marowak,105,ground,fire,,
Hitmonlee,106,fighting,,1.5,49.8
Hitmonchan,107,fighting,,1.4,50.2
Lickitung,108,normal,,1.2,65.5
Koffing,109,poison,,0.6,1.0
Weezing,110,poison,,1.2,9.5
Rhyhorn,111,ground,rock,1.0,115.0
Rhydon,112,ground,rock,1.9,120.0
Chansey,113,normal,,1.1,34.6
Tangela,114,grass,,1.0,35.0
Kangaskhan,115,normal,,2.2,80.0
Horsea,116,water,,0.4,8.0
Seadra,117,water,,1.2,25.0
Goldeen,118,water,,0.6,15.0
Seaking,119,water,,1.3,39.0
Staryu,120,water,,0.8,34.5
Starmie,121,water,psychic,1.1,80.0
Mr. Mime,122,psychic,fairy,1.3,54.5
Scyther,123,bug,flying,1.5,56.0
Jynx,124,ice,psychic,1.4,40.6
Electabuzz,125,electric,,1.1,30.0
Magmar,126,fire,,1.3,44.5
Pinsir,127,bug,,1.5,55.0
Tauros,128,normal,,1.4,88.4
Magikarp,129,water,,0.9,10.0
Gyarados,130,water,flying,6.5,235.0
Lapras,131,water,ice,2.5,220.0
Ditto,132,normal,,0.3,4.0
Eevee,133,normal,,0.3,6.5
Vaporeon,134,water,,1.0,29.0
Jolteon,135,electric,,0.8,24.5
Flareon,136,fire,,0.9,25.0
Porygon,137,normal,,0.8,36.5
Omanyte,138,rock,water,0.4,7.5
Omastar,139,rock,water,1.0,35.0
Kabuto,140,rock,water,0.5,11.5
Kabutops,141,rock,water,1.3,40.5
Aerodactyl,142,rock,flying,1.8,59.0
Snorlax,143,normal,,2.1,460.0
Articuno,144,ice,flying,1.7,55.4
Zapdos,145,electric,flying,1.6,52.6
Moltres,146,fire,flying,2.0,60.0
Dratini,147,dragon,,1.8,3.3
Dragonair,148,dragon,,4.0,16.5
Dragonite,149,dragon,flying,2.2,210.0
Mewtwo,150,psychic,,2.0,122.0
Mew,151,psychic,,0.4,4.0
